Taxon,Value,Comment
Abies alba,34,
Acer campestre,41,
Acer negundo,27.5,
Acer platanoides,40,
Acer pseudoplatanus,34,
Achillea millefolium agg.,23,
Achillea ptarmica,13,
Acinos arvensis,13,
Actaea spicata,9.5,
Adonis aestivalis,4,
Aegopodium podagraria,32,
Aesculus hippocastanum,75,
Aethusa cynapium agg.,8,
Agrimonia eupatoria,32,
Agrostis canina,10,
Agrostis capillaris,11,
Agrostis gigantea,10,
Agrostis stolonifera,12,
Agrostis vinealis,15,
Ailanthus altissima,27,
Ajuga chamaepitys,18,
Ajuga genevensis,13,
Ajuga reptans,9.5,
Alchemilla,15,
Alisma lanceolatum,25,
Alisma plantago-aquatica,15,
Alliaria petiolata,40,
Allium flavum,18,
Allium oleraceum,32,
Allium scorodoprasum,75,
Allium senescens,28,
Allium ursinum,75,
Allium vineale,35,
Alnus glutinosa,25,
Alnus incana,27,
Alopecurus aequalis,5,
Alopecurus geniculatus,3,
Alopecurus pratensis,25,
Alyssum alyssoides,15,
Alyssum montanum,42,
Amaranthus retroflexus,1.5,
Anacamptis morio,35,
Anagallis arvensis,5,
Anagallis foemina,4,
Anchusa officinalis,25,
Andromeda polifolia,75,
Anemone nemorosa,40,
Angelica sylvestris,15,
Anthemis arvensis,10,
Anthemis austriaca,5,
Anthemis tinctoria,20,
Anthericum liliago,75,
Anthericum ramosum,30,
Anthoxanthum odoratum,32,
Anthriscus cerefolium,20,
Anthriscus sylvestris,30,
Anthyllis vulneraria,18,
Apera spica-venti,3,
Aphanes arvensis,25,
Aquilegia vulgaris,17.5,
Arabidopsis arenosa,30,
Arabidopsis halleri,4,
Arabidopsis thaliana,4,
Arabis glabra,32,
Arabis hirsuta agg.,18,
Arctium lappa,8.5,
Arctium minus,8,
Arctium tomentosum,8,
Arenaria serpyllifolia,7,
Armeria elongata,75,
Armoracia rusticana,8,
Arnica montana,35,
Arrhenatherum elatius,25,
Artemisia absinthium,8,
Artemisia campestris,32,
Artemisia pontica,35,
Artemisia vulgaris,10,
Asarum europaeum,75,
Asparagus officinalis,75,
Asperula cynanchica,28.5,
Asperula tinctoria,75,
Asplenium ruta-muraria,49,
Asplenium trichomanes,27.5,
Aster amellus,30,
Astragalus austriacus,75,
Astragalus cicer,31.5,
Astragalus exscapus,75,
Astragalus glycyphyllos,30,
Athyrium distentifolium,35,
Athyrium filix-femina,35,
Atriplex oblongifolia,8,
Atriplex patula,4.5,
Atriplex prostrata,1,
Atriplex rosea,3,
Atriplex sagittata,5,
Atropa bella-donna,9,
Aurinia saxatilis,31,
Avena fatua,4,
Avenella flexuosa,15,
Ballota nigra,19,
Barbarea vulgaris,2,
Bassia scoparia,27,
Bellis perennis,32,
Berberis vulgaris,49,
Berteroa incana,16.5,
Betonica officinalis,45,
Betula pendula,22,
Betula pubescens subsp. pubescens,7,
Bidens cernua,3,
Bidens frondosa,11.5,
Bidens radiata,19,
Bidens tripartita,6,
Bifora radians,4,
Bistorta officinalis,15,
Blechnum spicant,20,
Bolboschoenus maritimus,13,
Bothriochloa ischaemum,48.5,
Brachypodium pinnatum,44.5,
Brachypodium sylvaticum,38,
Briza media,28.5,
Bromus benekenii,75,
Bromus commutatus,3,
Bromus erectus,75,
Bromus hordeaceus,12,
Bromus inermis,15,
Bromus japonicus,10,
Bromus ramosus,41.5,
Bromus sterilis,9,
Bromus tectorum,8,
Buglossoides arvensis,6,
Buglossoides purpurocaerulea,13,
Bunias orientalis,37.5,
Bupleurum falcatum,26,
Calamagrostis arundinacea,31,
Calamagrostis canescens,4,
Calamagrostis epigejos,16,
Calamagrostis villosa,8,
Callitriche,15,
Calluna vulgaris,15,
Caltha palustris,75,
Calystegia sepium,20,
Camelina microcarpa,6.5,
Campanula bononiensis,14,
Campanula glomerata,50,
Campanula patula,7,
Campanula persicifolia,35.5,
Campanula rapunculoides,30,
Campanula rotundifolia,32,
Campanula sibirica,30,
Campanula trachelium,25,
Capsella bursa-pastoris,2,
Cardamine amara,1,
Cardamine dentata,14.5,
Cardamine flexuosa,1,
Cardamine hirsuta,30,
Cardamine impatiens,11,
Carduus acanthoides,8,
Carduus crispus,13,
Carduus nutans,15,
Carex acuta,10,
Carex bohemica,2,
Carex brizoides,23,
Carex canescens,5,
Carex caryophyllea,30,
Carex cespitosa,25,
Carex digitata,33,
Carex echinata,4,
Carex elata,16.5,
Carex flacca,75,
Carex flava,7,
Carex hirta,17.5,
Carex hostiana,75,
Carex humilis,75,
Carex leporina,4,
Carex michelii,50,
Carex montana,13,
Carex muricata agg.,5,
Carex nigra,28,
Carex oederi,20,
Carex otrubae,24,
Carex pallescens,25,
Carex pendula,5.5,
Carex pilulifera,10,
Carex praecox,15.5,
Carex pseudocyperus,25.5,
Carex remota,30,
Carex rostrata,25,
Carex supina,25,
Carex sylvatica,33,
Carex tomentosa,8,
Carex vesicaria,11,
Carex vulpina,24,
Carlina acaulis,18,
Carlina vulgaris,30,
Carpinus betulus,40,
Carum carvi,26.5,
Caucalis platycarpos,5,
Centaurea cyanus,4,
Centaurea jacea,25,
Centaurea phrygia,47,
Centaurea scabiosa,32,
Centaurea stoebe,22,
Centaurea triumfetti,13,
Centaurium erythraea,3,
Cephalanthera longifolia,33,
Cephalanthera rubra,44,
Cerastium arvense,25,
Cerastium holosteoides,15,
Cerastium pumilum,75,
Cerastium semidecandrum,13,
Cerinthe minor,13,
Chaerophyllum aromaticum,5,
Chaerophyllum aureum,32,
Chaerophyllum bulbosum,30,
Chaerophyllum hirsutum,7,
Chaerophyllum temulum,75,
Chamaecytisus ratisbonensis,25,
Chamaecytisus supinus,13,
Chelidonium majus,29,
Chenopodium album,3,
Chenopodium bonus-henricus,4.5,
Chenopodium ficifolium,3.5,
Chenopodium glaucum,4.5,
Chenopodium polyspermum,2,
Chenopodium rubrum,5,
Chondrilla juncea,18,
Chrysosplenium oppositifolium,1.5,
Cichorium intybus,11,
Circaea ×intermedia,1,
Circaea lutetiana,35,
Cirsium acaulon,22.5,
Cirsium arvense,10,
Cirsium canum,23,
Cirsium eriophorum,25,
Cirsium heterophyllum,7,
Cirsium oleraceum,3,
Cirsium palustre,9,
Cirsium vulgare,12,
Clematis recta,40,
Clematis vitalba,34.5,
Clinopodium vulgare,32,
Colchicum autumnale,25,
Comarum palustre,50,
Conium maculatum,1,
Conringia orientalis,5,
Consolida regalis,4,
Convallaria majalis,4,
Convolvulus arvensis,22,
Conyza canadensis,5,
Cornus mas,39,
Cornus sanguinea,35,
Corydalis cava,35,
Corylus avellana,37.5,
Corynephorus canescens,9,
Cotoneaster integerrimus,49.5,
Crataegus,41,
Crepis biennis,12.5,
Crepis capillaris,9.5,
Crepis foetida,10,
Crepis paludosa,35,
Crepis tectorum,12,
Cruciata laevipes,75,
Cynoglossum officinale,20,
Cynosurus cristatus,32,
Cyperus fuscus,15,
Cystopteris fragilis,11,
Cytisus nigricans,75,
Cytisus procumbens,30,
Cytisus scoparius,12,
Dactylis glomerata,32,
Dactylis polygama,34,
Danthonia decumbens,35,
Daphne mezereum,5.5,
Daucus carota,15,
Dentaria bulbifera,20,
Dentaria enneaphyllos,75,
Dentaria glandulosa,20,
Deschampsia cespitosa,14.5,
Descurainia sophia,4.5,
Dianthus armeria,5,
Dianthus carthusianorum,75,
Dianthus deltoides,75,
Dianthus sylvaticus,3,
Dictamnus albus,75,
Digitalis grandiflora,75,
Digitalis purpurea,5,
Digitaria ischaemum,2.5,
Digitaria sanguinalis,2,
Diphasiastrum complanatum,22,
Diplotaxis muralis,6.5,
Dipsacus fullonum,12,
Doronicum austriacum,4,
Drosera rotundifolia,27,
Dryopteris carthusiana,30,
Dryopteris dilatata,15,
Dryopteris filix-mas,35,
Dysphania botrys,2,
Echinochloa crus-galli,1,
Echinops sphaerocephalus,16,
Echium vulgare,14.5,
Eleocharis acicularis,8,
Eleocharis palustris,15,
Elymus caninus,39,
Elymus hispidus,75,
Elymus repens,8,
Empetrum nigrum,40,
Epilobium adenocaulon,13,
Epilobium angustifolium,15,
Epilobium collinum,28,
Epilobium dodonaei,13,
Epilobium hirsutum,6,
Epilobium montanum,10.5,
Epilobium obscurum,15,
Epilobium palustre,15,
Epilobium parviflorum,8,
Epilobium roseum,10,
Epilobium tetragonum,5,
Epipactis atrorubens,38,
Epipactis helleborine,35,
Equisetum arvense,15,
Equisetum fluviatile,20,
Equisetum palustre,3,
Equisetum sylvaticum,6,
Equisetum variegatum,2,
Eragrostis minor,2.5,
Erigeron acris,13,
Erigeron annuus,30,
Eriophorum angustifolium,25,
Eriophorum vaginatum,50,
Erodium cicutarium,6,
Erophila verna,30,
Erucastrum gallicum,15,
Eryngium campestre,40,
Erysimum cheiranthoides,8,
Erysimum crepidifolium,13,
Erysimum diffusum agg.,8,
Erysimum durum,12.5,
Erysimum odoratum,12,
Euonymus europaeus,46,
Eupatorium cannabinum,35,
Euphorbia cyparissias,32,
Euphorbia dulcis,4,
Euphorbia epithymoides,13,
